examinee,item_01,item_02,item_03,item_04,item_05,item_06,item_07,item_08,item_09,item_10
1,0,0,0,0,0,1,0,0,0,0
2,1,1,1,1,1,1,1,0,1,1
3,0,0,1,0,1,1,0,1,1,1
4,0,0,0,1,1,1,0,1,1,1
5,0,1,0,0,1,1,0,0,0,0
6,0,1,1,1,1,0,1,1,0,1
7,0,1,0,1,1,1,0,0,0,1
8,0,1,1,0,1,1,0,1,1,1
9,1,0,1,1,1,1,1,1,1,1
10,1,0,1,1,0,1,0,0,1,1
11,0,0,0,1,1,1,0,0,1,1
12,0,0,1,0,1,0,0,0,0,1
13,0,1,1,1,1,1,1,1,1,1
14,0,0,1,0,1,0,0,0,1,1
15,1,0,0,1,0,1,1,0,1,1
16,1,0,0,1,1,1,1,1,0,1
17,0,0,0,1,0,0,0,1,1,1
18,1,1,0,1,1,1,0,0,1,1
19,0,0,0,0,1,1,0,1,1,1
20,0,0,0,0,1,1,1,0,1,1
21,0,0,1,1,0,1,0,0,1,1
22,0,0,1,1,1,1,1,0,1,0
23,0,0,0,0,1,0,0,0,1,0
24,0,0,0,0,1,0,1,1,1,0
25,1,0,1,1,1,1,1,0,1,1
26,0,1,1,1,1,1,1,0,1,1
27,0,0,0,1,0,1,0,0,1,1
28,0,0,1,1,1,1,1,0,1,1
29,0,0,1,1,1,1,1,1,1,1
30,0,0,1,0,1,1,1,0,0,1