team,fci,payroll,playoffs,league
Arizona Diamondbacks,142.42,1.16038416,0,NL
Atlanta Braves,222.74,0.83306041,1,NL
Baltimore Orioles,187.8,1.41814118,0,AL
Boston Red Sox,354.54,2.06247686,0,AL
Chicago Cubs,370.12,1.75310002,1,NL
Chicago White Sox,223.5,0.73050333,0,AL
Cincinnati Reds,204.56,0.98801785,0,NL
Cleveland Indians,219.64,1.11952167,1,AL
Colorado Rockies,214.64,1.17328498,1,NL
Detroit Tigers,212.22,1.11286,0,AL
Houston Astros,313.38,1.720389,1,AL
Kansas City Royals,230.34,1.15483116,0,AL
Los Angeles Angels of Anaheim,197.66,1.71248332,0,AL
Los Angeles Dodgers,274.98,1.57496785,1,NL
Miami Marlins,175.68,0.85843,0,NL
Milwaukee Brewers,209.76,0.83827856,1,NL
Minnesota Twins,210.72,1.2956,0,AL
New York Mets,247.38,1.66261459,0,NL
New York Yankees,293.96,1.61305917,1,AL
Oakland Athletics,212.1,0.626525,1,AL
Philadelphia Phillies,250.16,0.74688166,0,NL
Pittsburgh Pirates,182.42,0.81335833,0,NL
San Diego Padres,195.88,0.73716532,0,NL
San Francisco Giants,278.2,1.84499166,0,NL
Seattle Mariners,258.06,1.41303943,0,AL
St. Louis Cardinals,254.46,1.01583666,0,NL
Tampa Bay Rays,160.12,0.63147666,0,AL
Texas Rangers,220.98,1.10154583,0,AL
Toronto Blue Jays,216.51,1.441222,0,AL
Washington Nationals,296.48,1.416222,0,NL