team,coach,coach_experience
Atlanta Hawks,Lloyd Pierce,0
Boston Celtics,Brad Stevens,2
Brooklyn Nets,Kenny Atkinson,1
Charlotte Hornets,James Borrego,0
Chicago Bulls,Jim Boylen,0
Cleveland Cavaliers,Larry Drew,0
Dallas Mavericks,Rick Carlisle,2
Denver Nuggets,Michael Malone,1
Detroit Pistons,Dwane Casey,2
Golden State Warriors,Steve Kerr,1
Houston Rockets,Mike D'Antoni,2
Indiana Pacers,Nate McMillan,2
Los Angeles Clippers,Doc Rivers,2
Los Angeles Lakers,Luke Walton,1
Memphis Grizzlies,J.B. Bickerstaff,1
Miami Heat,Erik Spoelstra,2
Milwaukee Bucks,Mike Budenholzer,1
Minnesota Timberwolves,Ryan Saunders,0
New Orleans Pelicans,Alvin Gentry,2
New York Knicks,David Fizdale,0
Oklahoma City Thunder,Billy Donovan,1
Orlando Magic,Steve Clifford,1
Philadelphia 76ers,Brett Brown,1
Phoenix Suns,Igor Kokoskov,0
Portland Trail Blazers,Terry Stotts,2
Sacramento Kings,David Joerger,0
San Antonio Spurs,Gregg Popovich,2
Toronto Raptors,Nick Nurse,0
Utah Jazz,Quin Snyder,1
Washington Wizards,Scott Brooks,2