social10,self_esteem,locus,ses,gpa,parent_ed
61.71,-0.1,-0.14,-0.563,3.8,2
46.98,-0.45,-0.58,0.123,2.5,3
50.48,0.33,-0.59,0.229,2.8,3
56.48,-0.02,0.07,0.687,3.5,6
55.32,-0.09,-0.85,0.633,3.3,5
39.67,-0.28,0.07,0.992,2.5,5
41.97,-0.23,0.07,-0.282,2.3,2
62.92,0.97,0.76,0.367,2.8,5
43.35,-0.22,0.27,0.321,2.5,4
49.45,-0.22,-0.15,1.224,3,7
57.55,0.69,0.67,0.964,4,7
66.46,1.14,0.54,1.27,2.8,5
60.13,-0.28,0.05,-0.291,2.8,2
32.83,-0.23,-1.07,-0.867,3,3
65.6,-0.12,0.51,-0.241,4,3
52.16,0.79,0.77,0.373,3.5,3
45.61,0.97,0.95,-0.011,2.3,3
36.4,0.17,0.28,-0.428,1.6,3
28.94,-0.64,-0.36,-0.196,2.1,2
51.44,-0.29,0.07,-0.163,4,2
40.35,0.94,0.37,-0.168,2.8,2
28.94,-0.85,-0.83,-0.142,2.5,3
46.37,-0.09,-0.39,0.122,1.8,2
28.94,-0.03,-1.21,-1.665,1.8,2
56.07,0.97,0.49,1.799,3,7
57.98,0.12,0.07,-1.101,4,2
45.31,-0.31,-0.36,-1.065,3.5,2
54.15,-0.28,-1.49,-0.728,1.9,1
55.09,0.19,1.43,1.304,3.5,6
49.94,-0.28,0.97,-0.219,3.3,2
44.63,-0.29,0.07,-0.687,1.5,2
58.94,0.13,-0.14,-0.911,3,1
35.09,-1.11,-0.65,-0.394,2.3,2
39.83,-1.13,-0.81,0.15,1,3
59.42,-0.52,-0.4,-0.381,2.8,5
34.34,-0.25,0.51,0.126,2.8,2
48.96,0.13,0.07,0.424,1.8,2
60.05,1.33,1.43,-0.242,3,2
38.87,0.54,0.56,-1.582,2.3,1
56.48,0.5,0.28,-0.565,3,3
62.93,-0.06,0.07,-0.627,4,2
55.5,-0.45,-0.65,0.533,3.8,3
61.66,0.96,0.07,1.312,2.8,7
35.24,-1.07,-0.16,-0.4,2.8,3
51.95,-0.27,-0.19,-0.387,2.8,2
59,-0.03,0.54,-0.74,3,2
48.55,1.1,1.2,0.458,3,3
46.29,-0.45,0.06,-1.086,3,3
55.48,-0.28,0.07,0.58,3.3,5
63.1,0.92,0.95,1.085,3.5,7
48.32,0.07,0.52,-0.624,2.5,3
34.09,-0.71,-0.54,0.401,2,2
47.35,-0.09,0.38,0.084,3.5,7
50.12,-0.46,-0.37,-0.917,3,4
43.71,-2.07,-0.76,-0.633,1.8,2
38.71,1.33,0.94,-1.004,2.3,4
39.08,-1.64,-1.12,-1.454,2.3,2
53.31,-0.28,0.07,0.148,3.5,3
58.94,1.33,0.72,-0.207,2.3,2
36.53,0.57,-1.01,-0.061,3,4
58.85,-0.45,0.07,0.563,3.3,5
45.67,-0.87,-1.3,-0.869,2,2
45.04,0.36,0.04,-0.671,3.5,2
58.71,-0.71,-0.37,-0.812,2.5,2
55.53,-0.26,-1.1,0.137,1.8,4
49.08,0.14,-0.14,-0.962,3.5,2
62.02,0.71,0.74,1.008,4,7
28.94,0.13,0.07,1.004,2.8,6
40.05,-0.29,-1.26,-0.488,2.5,2
58.56,0.13,0.52,-0.286,2.5,4
48.46,-0.64,-0.14,0.979,3,6
55.65,-0.75,-0.16,1.012,3.3,5
68.39,-1.47,-1.29,1.002,3.8,6
62.98,0.12,0.28,1.006,4,7
30.59,0.77,0.78,-0.546,1.5,3
32.41,-0.05,0.07,-0.135,1.8,5
30.55,0.06,-0.9,-0.309,3,7
59.57,0.96,-0.11,0.108,3.8,5
34.42,-0.49,-0.61,-0.291,2.5,2
47.49,0.69,-0.61,-0.803,2.8,2
43.91,0.79,-0.37,-0.174,4,2
41.57,-0.45,-0.16,-0.261,2.3,3
53.87,-0.45,0.3,0.685,3.8,5
61.42,-0.68,-0.4,1.009,3.3,7
37.81,-1.06,-0.35,-0.289,2.5,2
64.51,-0.11,-0.37,0.07,3.3,4
31.08,-0.45,-0.84,-1.058,2,2
60.44,0.96,-0.35,0.513,2.8,5
47.22,-0.45,0.09,-1.191,2.5,2
48.61,0.54,0.74,0.365,3.5,2
49.87,-1.51,-1.3,-0.164,3.3,3
45.31,-0.09,0.28,0.894,3.5,7
48.31,0.34,0.52,1.002,3.3,5
58.26,-0.22,-0.35,1.301,4,5
47.95,0.2,1.2,-0.263,3.5,2
40.83,-0.28,-0.14,-0.263,3,2
49.37,-0.27,0.27,-0.812,2.5,2
50.39,0.43,-0.34,-0.284,3,2
53.43,0.07,-0.16,-1.417,1.9,2
54.91,0.36,-0.16,-0.801,3,2
36.14,0.73,1.43,0.117,2.5,4
50.54,0.77,-0.14,1.011,3,7
43.44,-0.45,-0.63,-0.381,2.8,3
55.84,-0.64,-0.39,-0.142,2.5,5
62.49,-0.1,0.07,-0.126,2.8,4
58.79,0.28,0.07,1.055,3.3,5
57.59,-0.29,-0.14,1.541,2,7
44.4,1.14,0.95,-0.985,2.5,2
51.84,0.97,0.52,-0.958,1.8,2
37.37,0.31,0.3,-0.797,2.3,5
41.5,0.19,1.43,0.048,3,2
66.16,-0.28,-0.14,0.387,3.3,5
62.25,-0.07,0.07,0.051,3,2
60.16,0.66,0.3,0.331,3.3,5
56.24,-1.84,-0.62,0.263,3,7
45.23,-0.1,0.25,-0.313,3,2
61.44,-0.28,0.07,-0.632,4,2
54.2,-0.49,-0.87,-0.047,3.3,6
63.46,-1.53,-0.63,-0.682,3.8,3
50.14,-1.07,-1.08,-1.013,1,2
38.49,-0.64,-1.06,-0.562,3,2
48.45,-0.45,0.07,0.306,2.3,2
62.93,-1.3,-0.85,-0.064,3,2
56.36,-0.45,-0.14,0.646,2.8,5
39.55,-0.64,-0.62,-1.042,2,1
62.86,1.33,0.73,0.358,4,6
67.06,0.57,0.74,1.136,3.3,6
38.81,-1.89,-1.11,-0.282,1.8,2
42.09,-0.28,0.07,1.304,2.5,6
53.72,-0.45,0.07,0.323,2.3,5
49.95,-0.1,0.07,0.107,2.8,5
51.71,-0.27,0.74,0.276,3.3,2
49.96,-0.45,-0.42,-0.502,2,4
54.19,0.32,-0.14,-0.451,3.3,2
54.2,-0.27,-0.39,-0.668,2.5,2
49.63,0.67,0.95,-0.142,4,1
36.21,-0.27,-0.14,-0.265,3.3,2
64.06,-0.28,-0.14,-0.22,3.5,2
69.16,1.33,0.53,-0.505,3,4
46.96,-0.28,0.07,0.708,3.8,5
62.42,-0.28,0.07,-0.26,3.3,3
58.03,1.33,1.02,0.137,3.3,1
58.72,-0.39,-0.14,0.812,4,5
58.53,0.44,0.3,-0.637,2.8,2
40.63,-0.45,0.97,0.533,3.3,4
54.19,0.13,0.07,0.29,3.8,5
54.36,0.07,0.3,-0.503,4,5
41.8,0.35,0.98,-0.219,2.5,2
49.22,0.15,0.28,-0.593,3,2
51.94,-0.1,-0.37,-0.393,2.3,2
60.86,-0.45,-0.19,-0.214,3.5,2
50.22,-0.64,-1.04,-0.283,1,3
43.31,0.52,-0.14,-0.925,3.5,2
47.55,-0.45,0.07,0.685,3.3,6
55.79,-0.45,-0.19,0.03,3,2
65.22,-0.1,0.07,-0.407,3.8,2
59.31,-0.68,-0.85,-0.204,3.3,2
63.42,-0.23,-0.19,1.799,3.8,7
52.04,-0.45,-0.14,-0.518,3,2
38.12,-0.5,-0.86,-1.053,4,1
35.32,-0.29,-1.89,0.231,3.5,5
35.49,-0.27,0.07,-0.759,2.3,2
34.13,-0.27,0.32,0.415,2.5,6
67.47,-0.1,0.07,0.685,3.5,6
63.71,0,0.3,0.608,4,5
43.15,-0.68,-0.17,-1.329,3,1
45.52,0.96,0.99,-0.372,3.3,2
35.96,-0.29,-1.89,-0.543,2.4,1
45.53,-0.45,-0.16,0.238,3.8,5
48.05,-0.66,0.07,-0.139,3.3,2
50.81,-0.1,-0.14,-0.066,2,4
65.29,-0.1,0.07,-1.482,3.3,2
50.77,-0.61,-0.14,-0.57,2.5,2
40.78,-0.66,-0.62,-0.862,2.5,1
57.09,1.33,0.95,1.326,4,6
37.89,-0.71,-1.02,-0.749,2.3,2
47.02,-0.1,0.07,-0.228,3,2
39.62,-0.25,0.07,-0.477,3,3
55.68,0.67,0.74,-1.178,3,1
60.26,-0.29,-0.18,-0.632,3,2
46.39,0.55,-0.4,-0.956,3.5,3
50.16,0.08,-1.08,1.251,2.8,6
38.88,0.65,-2.16,-0.291,2.5,3
44.42,-0.1,-0.39,0.233,2.1,2
34.79,-0.23,0.24,-1.067,2.3,2
32.98,-0.76,-0.42,-0.415,1.8,3
62.36,-0.33,-0.79,-0.956,3.5,1
57.88,-1.11,0.58,-0.733,2.8,2
45.58,-0.45,-0.14,-0.627,3.3,1
38.23,-0.9,0.08,-0.185,3.3,4
61.17,-0.29,0.07,-0.722,4,2
56.55,0.16,0.07,1.68,2.8,6
39.39,0.13,-0.14,0.905,3,5
61.11,-0.1,0.07,-0.236,3.5,5
45.9,0.96,0.49,-1.131,4,2
60.35,0.74,0.51,0.235,3.5,2
49.64,0.71,0.32,-0.142,2.5,2
53.43,1.33,1.43,1.304,3,6
61.35,-0.84,-1.3,0.812,3.5,5
41.25,0.21,0.08,-0.183,2.8,7
34.3,-0.52,-0.83,-1.343,2.3,1
64.17,1.33,0.97,0.788,4,6
47.54,-0.91,-1.31,-0.008,2.8,2
65.32,0.79,-1.71,0.438,3.3,2
44.94,0.17,-0.63,-0.661,2.5,2
62.71,-0.39,0.28,0.03,4,4
40.75,0.77,0.36,-1.541,2.8,1
54.38,1.33,-0.59,-0.106,3.3,5
45.73,-0.45,-0.61,-0.287,3.3,5
46.87,-0.07,0.54,-0.506,2.5,2
51.27,-0.29,-0.63,-0.388,3,2
51.88,1.33,0.78,0.438,2,5
62.88,0.09,1.18,-0.678,2.8,2
61.05,-1.85,-0.9,-0.499,3,5
59.52,-0.71,0.07,0.211,4,3
51.61,-0.23,-0.18,-0.5,2.8,7
34.54,0.67,-0.13,-0.461,2.8,2
50.23,-0.23,0.07,0.122,3.8,4
48.7,0.15,0.29,1.099,3.3,7
55.09,-0.47,0.01,0.161,2.5,5
60.03,-0.29,-0.31,0.408,4,5
52.28,0.62,1.2,-0.683,2.3,5
50.33,1.14,0.28,-0.451,4,2
46.2,-0.45,0.07,-0.197,3.8,2
42.68,0.5,0.31,-0.707,2.5,2
32.29,0.96,1.43,-0.392,2.5,1
49.48,-0.2,0.76,-0.315,3.3,2
65.81,0.65,0.29,0.881,3.5,5
50.15,0.27,0.07,0.98,4,5
32.18,0.22,0.97,-1.034,2.5,2
51.02,0.13,-0.14,-0.547,3.8,2
50.88,1.33,0.97,-1.22,2.5,1
40.09,-0.31,-0.14,-1.106,3.3,1
47.22,1.33,1.43,0.621,2.5,3
32.51,0.4,1.23,-1.171,2.5,2
43.15,-0.23,-0.35,-0.535,3.8,2
46.28,0.52,0.53,-1.417,3.3,2
47.81,0.18,-0.11,-0.142,3.5,3
53.98,0.86,1.22,-0.707,3.8,5
42.13,0.9,0.3,-0.534,2,1
35.75,0.53,0.09,0.225,3.3,5
55.72,-0.05,-0.38,-0.119,2.8,3
51.75,0.09,0.26,1.152,1.6,6
49.03,1.14,0.53,0.651,3.5,4
41.71,1.14,0.74,-1.513,2,1
34.75,-0.73,-0.81,-1.475,1.6,1
46.73,0.31,-0.35,-1.533,3.3,1
55.07,0.5,0.29,-0.271,2.5,4
49.8,0.75,0.97,0.562,4,4
44.38,0.08,-0.13,-0.485,2.3,5
49.16,-0.57,0.05,0.011,3,5
42.16,1.33,0.34,-1.206,2.8,2
58.57,-0.45,-0.64,0.471,3.8,6
43.22,1.1,1.43,-0.003,4,2
40.82,-0.68,-0.12,-2.414,2.5,1
43.9,0.42,-0.47,-0.295,3,2
40.58,0.39,-0.16,-0.119,3.3,3
58.15,-0.64,-1.04,0.095,3.8,2
53.89,-0.28,0.07,0.72,2.8,5
67.06,-1.12,-0.63,-0.734,4,2
49.59,-0.1,0.07,0.419,3.3,2
52.27,0.53,0.31,-0.144,3,2
45.07,-0.91,-0.14,-0.124,3,3
38.94,0.16,0.72,0.11,3.8,3
50.05,0.43,0.07,0.956,4,6
64.57,-0.1,-0.11,0.299,4,2
33.32,-0.1,-0.37,0.233,1.6,2
53.28,0.17,-0.61,-0.835,2.1,4
53.8,0.8,0.53,-0.903,3,1
59.83,0.91,0.53,1.002,3.3,7
60.01,0.97,0.54,0.25,4,5
64.23,-0.26,-0.37,-0.171,3,5
39.08,-0.56,-0.37,-1.118,1.1,2
56.07,0.8,0.75,1.304,3.8,7
38.54,0.79,1.43,-1.464,4,1
42.69,0.79,0.31,-0.952,3,2
47.44,-0.28,0.07,-0.168,3.5,5
64.05,-0.1,0.07,0.811,3.5,6
43.16,0.48,0.1,-1.417,3,5
43.32,0.55,-1.51,-0.826,2.4,2
56.4,1.33,1.2,-0.004,4,4
44.82,-0.51,-0.34,0.104,3,5
46.67,-0.47,-0.49,0.121,2.8,7
51.49,-0.1,0.07,-0.341,2.8,3
50.9,-0.28,-0.64,-0.518,2.8,2
58.33,-0.09,0.3,1.281,3.5,6
67.72,-0.68,-0.14,0.983,4,5
55.71,-0.06,1.43,1.067,3.3,7
64.68,-0.45,0.3,1.495,3.3,7
67.72,-0.07,0.53,0.65,4,5
66.09,-0.66,-0.14,-0.067,3.3,4
51.82,0.31,0.51,0.91,3.3,6
60.79,-0.1,-0.19,1.019,2.5,5
64.17,0.91,0.74,1.628,4,7
32.01,-0.9,-0.82,0.119,1.9,6
55.14,-0.91,0.28,0.095,2.5,5
56.01,-0.27,0.04,-0.214,1.8,2
40.75,0.34,0.77,-0.379,2.5,2
44.81,-0.45,0.1,0.568,2.3,5
62.2,0.97,0.07,0.678,4,5
64.36,1.14,0.99,0.927,4,5
58.33,-0.23,0.5,1.456,3.5,7
63.85,0.54,0.3,0.647,4,5
54.12,0.97,1.2,0.662,3.5,6
39.4,-0.1,0.07,-0.43,2.8,4
41.21,0.52,0.48,0.769,3,6
52.5,0.11,-0.24,-0.104,2.8,5
64.54,0.96,-0.16,1.306,3.8,7
53.21,1.16,0.74,0.958,3.3,6
44.71,-0.28,0.25,0.128,2.5,2
47.05,1.33,1.23,0.996,3.8,7
56.89,0.13,-0.38,0.484,3.7,3
45.94,-1.22,0.28,0.784,2,6
41.89,-0.02,-0.6,-0.641,3,5
57.29,-0.66,0.07,0.215,2.8,3
62.98,0.09,0.53,0.091,3.8,6
56.55,0.9,0.32,0.058,3.8,2
33.28,-0.45,-0.15,-0.728,1.9,5
59.7,0.44,0.71,0.772,4,6
60.72,0.96,-0.2,-1.321,1.9,2
42.92,-0.25,-0.35,0.324,3.3,6
49.72,1.12,0.31,0.388,3.5,3
63.53,0.33,0.07,1.176,3.5,7
34.16,-1.07,-1.54,-0.879,2.5,1
41.04,-0.64,-0.14,-0.668,2.5,4
40.8,0.36,-0.16,-0.41,1.5,3
42.52,0.03,0.41,-1.417,3.5,1
59.49,0.14,0.07,0.528,3.8,6
63.71,0.13,0.52,0.633,3.8,2
64.48,0.32,1.2,1.174,4,5
57.36,0.97,0.56,0.343,4,5
66.25,0.6,0.07,0.123,2,4
39.77,0.3,0.32,-0.665,2.3,2
48.4,1.14,0.95,-1.904,3,2
55.01,-0.08,0.07,0.709,4,6
50.76,0.3,-0.14,-0.624,4,4
61.7,-0.1,0.07,0.789,2.3,7
60.36,-0.69,0.28,0.502,4,5
32.48,0.97,0.35,-0.208,2,2
40.54,0.59,0.52,-0.032,1,2
55.54,-0.23,-0.14,-0.937,3.3,2
59.82,-0.1,0.07,1.605,4,6
56.51,-0.28,-0.37,1.085,3.5,5
56.89,-0.1,0.07,-0.499,3.5,5
57.91,0.07,0.3,0.678,3.8,4
40.73,1.33,0.09,-0.603,4,7
38.51,-0.64,-0.58,-1.575,1.3,1
40.6,-0.29,-0.14,-1.032,3.8,1
54.94,-0.68,-0.35,-0.203,3.5,3
59.8,0.74,0.74,-0.366,2,5
45.07,-0.87,-0.14,-0.502,4,3
69.16,-0.1,0.11,0.622,2.8,5
33.75,-0.84,-0.83,0.233,2.3,4
42.03,-0.23,0.07,0.192,3.5,4
60.05,-0.45,-0.14,0.687,3.5,5
68.03,0.71,0.51,0.204,3.8,4
58.54,0.6,0.51,1.724,3.8,7
60.69,1.14,0.1,0.483,3.8,4
46.73,-0.28,-0.14,-0.45,3.5,4
66.43,0.09,-0.6,0.341,4,2
34.92,-1.07,-0.19,0.108,2.8,2
65.28,0.67,1.18,0.902,3.8,6
29.15,-1.53,-1.3,-1.311,3,1
44.61,-0.1,0.07,0.238,3.5,3
63.6,-1.27,-0.83,-0.215,4,3
37.69,-0.45,-0.36,-1.475,3.5,1
59.6,-1.08,-0.15,-0.187,3.8,7
30.66,-0.32,-0.58,-0.335,3.5,1
